id,study_title,study_link,resultIA_no_fine_tunning,resultIA_fine_tunning,study_type,study_year,cannabinoids,organ_systems,study_conditions
2022366,Updates in the use of cannabis for insomnia,https://pubmed.ncbi.nlm.nih.gov/36102608/,Inconclusive,,Meta-analysis,2022,,,Insomnia and Sleep Disorders; Restless Leg Syndrome
2022367,Exploring the endocannabinoidome in genetically obese (ob/ob) and diabetic (db/db) mice: Links with inflammation and gut microbiota,https://www.sciencedirect.com/science/article/abs/pii/S1388198121001840?via%3Dihub,Positive,,Laboratory Study,2022,Microbiome; 2-Arachidonoyl Glycerol (2-AG); Anandamide (AEA); Endocannabinoid (unspecified); Fatty Acid Amide Hydrolase (FAAH); Palmitoylethanolamide (PEA); Virodhamine (O-AEA),Endocrine System,Inflammation; Metabolic Syndrome; Obesity; Diabetes; Liver Failure
2022368,Inhibition of mitochondrial permeability transition pore and antioxidant effect of Delta-9-tetrahydrocannabinol reduces aluminium phosphide-induced cytotoxicity and dysfunction of cardiac mitochondria,https://www.sciencedirect.com/science/article/abs/pii/S0048357522000840?via%3Dihub,Positive,,Laboratory Study,2022,,Cardiovascular System,Cardiovascular Diseases (CVD); Oxidative Stress
2022369,The Heart and Cannabis (THC) Cohort: Differences in Baseline Health and Behaviors by Cannabis Use,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9585109/,Negative,,Meta-analysis,2022,,Cardiovascular System; Mental/Emotional System,Behavioral Disorders; Atherosclerosis; Cardiovascular Diseases (CVD); Addiction - Alcohol; Addiction - Benzodiazepine; Addiction - Nicotine; Addiction - Opioid; Addiction - Stimulant; MDMA Adverse Effects
2022370,Fatty Acid Amide Hydrolase Deficiency Is Associated with Deleterious Cardiac Effects after Myocardial Ischemia and Reperfusion in Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9604059/,Positive,,Animal Study,2022,Fatty Acid Amide Hydrolase (FAAH); Synthetic Cannabinoid (unspecified); 2-Arachidonoyl Glycerol (2-AG); Anandamide (AEA); Endocannabinoid (unspecified),Cardiovascular System; Nervous System,Cardiovascular Diseases (CVD); Chronic Heart Disease; Heart Disease; Inflammation
2020182,Pharmacological activation of CB2 receptor protects against ethanol-induced myocardial injury related to RIP1/RIP3/MLKL-mediated necroptosis,https://pubmed.ncbi.nlm.nih.gov/32681290/,Positive,,Animal Study,2020,AM-x Synthetic Cannabinoids; Endocannabinoid (unspecified); JWH-x Synthetic Cannabinoids,Cardiovascular System; Nervous System,Cardiovascular Diseases (CVD); Heart Attack; Inflammation; Cardiac Arrhythmias
2022371,Adverse Effects of Cannabinoids and Tobacco Consumption on the Cardiovascular System: A Systematic Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9484787/,Negative,,Meta-analysis,2022,Synthetic Cannabinoid (unspecified),Cardiovascular System; Mental/Emotional System; Nervous System,Addiction - Nicotine; Addiction; Cannabis Adverse Effects; Cardiac Arrhythmias; Cardiovascular Diseases (CVD); Heart Attack; Atherosclerosis; Chronic Heart Disease; Heart Disease; Oxidative Stress; Stroke
2011050,The endogenous cannabinoid system in the gut of patients with inflammatory bowel disease,https://www.nature.com/articles/mi201118,Positive,,Clinical Trial,2011,Anandamide (AEA); 2-Arachidonoyl Glycerol (2-AG); Fatty Acid Amide Hydrolase (FAAH); Monoacylglycerol Lipase (MAGL); Other Related Compounds; Palmitoylethanolamide (PEA),Digestive System; Nervous System,IBD - Crohn's Disease; IBD - Inflammatory Bowel Disease; Inflammation; Diarrhea
2019081,Microdeletion in a FAAH pseudogene identified in a patient with high anandamide concentrations and pain insensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6676009/,Positive,,Meta-analysis,2019,Anandamide (AEA); Fatty Acid Amide Hydrolase (FAAH),Nervous System,Pain; Anxiety; Pain - Acute; Pain - Chronic; Wound Healing
1997002,Molecular characterization of human and mouse fatty acid amide hydrolases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC20071/,Inconclusive,,Laboratory Study,1997,Fatty Acid Amide Hydrolase (FAAH),,
2017063,Cannabinoid Receptor-2 Ameliorates Inflammation in Murine Model of Crohn’s Disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5881726/,Positive,,Animal Study,2017,Endocannabinoid (unspecified); 2-Arachidonoyl Glycerol (2-AG); Anandamide (AEA); Fatty Acid Amide Hydrolase (FAAH); Monoacylglycerol Lipase (MAGL); Other Related Compounds; Palmitoylethanolamide (PEA),Digestive System; Nervous System,IBD - Crohn's Disease; IBD - Inflammatory Bowel Disease; Inflammation; Pain
2019082,Members of the endocannabinoid system are distinctly regulated in inflammatory bowel disease and colorectal cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6382821/,Positive,,Clinical Trial,2019,2-Arachidonoyl Glycerol (2-AG); Lysophosphatidylinositol (LPI); Other Related Compounds; Anandamide (AEA); Fatty Acid Amide Hydrolase (FAAH); Monoacylglycerol Lipase (MAGL); Palmitoylethanolamide (PEA),Digestive System; Nervous System,Cancer - Colon; Cancer; IBD - Crohn's Disease; IBD - Inflammatory Bowel Disease; Inflammation
2011051,New FAAH inhibitors based on 3-carboxamido-5-aryl-isoxazole scaffold that protect against experimental colitis,https://pubmed.ncbi.nlm.nih.gov/21612933/,Positive,,Animal Study,2011,Fatty Acid Amide Hydrolase (FAAH); Anandamide (AEA); Endocannabinoid (unspecified),Digestive System; Nervous System,IBD - Inflammatory Bowel Disease; Inflammation
2012065,The endocannabinoid system in inflammatory bowel diseases: from pathophysiology to therapeutic opportunity,https://pubmed.ncbi.nlm.nih.gov/22917662/,Positive,,Meta-analysis,2012,2-Arachidonoyl Glycerol (2-AG); Anandamide (AEA); Endocannabinoid (unspecified); Fatty Acid Amide Hydrolase (FAAH); Monoacylglycerol Lipase (MAGL),Digestive System,IBD - Crohn's Disease; IBD - Inflammatory Bowel Disease; Inflammation
2021215,The cannabinoid TRPA1 agonist cannabichromene inhibits nitric oxide production in macrophages and ameliorates murine colitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3632250/,Positive,,Animal Study,2021,Cannabichromene (CBC); 2-Arachidonoyl Glycerol (2-AG); AM-x Synthetic Cannabinoids; Anandamide (AEA); HU-x Synthetic Cannabinoids; JWH-x Synthetic Cannabinoids; Palmitoylethanolamide (PEA); Pharma THC; SR-x Synthetic Cannabinoids; Synthetic Cannabinoid (unspecified); Virodhamine (O-AEA),Digestive System; Nervous System,IBD - Inflammatory Bowel Disease; Inflammation; Oxidative Stress
2021216,Genetic Variants of Fatty Acid Amide Hydrolase Modulate Acute Inflammatory Responses to Colitis in Adult Male Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8670533/,Positive,,Animal Study,2021,Fatty Acid Amide Hydrolase (FAAH); 2-Arachidonoyl Glycerol (2-AG); Anandamide (AEA); Endocannabinoid (unspecified); Monoacylglycerol Lipase (MAGL),Digestive System,IBD - Inflammatory Bowel Disease; Inflammation; Anxiety; Arthritis - Osteoarthritis; Arthritis; Irritable Bowel Syndrome; Multiple Sclerosis
2021217,Comorbid anxiety-like behavior in a rat model of colitis is mediated by an upregulation of corticolimbic fatty acid amide hydrolase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8115350/,Positive,,Animal Study,2021,Anandamide (AEA); Endocannabinoid (unspecified); Fatty Acid Amide Hydrolase (FAAH); 2-Arachidonoyl Glycerol (2-AG); Monoacylglycerol Lipase (MAGL); Palmitoylethanolamide (PEA); Virodhamine (O-AEA),Digestive System; Mental/Emotional System; Nervous System,Anxiety; IBD - Inflammatory Bowel Disease; Inflammation; Behavioral Disorders; Depression; PTSD
2013045,3-Carboxamido-5-aryl-isoxazoles as new CB2 agonists for the treatment of colitis,https://pubmed.ncbi.nlm.nih.gov/23849204/,Positive,,Animal Study,2013,Endocannabinoid (unspecified),Digestive System; Nervous System,IBD - Inflammatory Bowel Disease; Inflammation; Depression; Pain
2006012,Up-regulation of anandamide levels as an endogenous mechanism and a pharmacological strategy to limit colon inflammation,https://faseb.onlinelibrary.wiley.com/doi/epdf/10.1096/fj.05-4943fje,Positive,,Animal Study,2006,Anandamide (AEA); 2-Arachidonoyl Glycerol (2-AG); Endocannabinoid (unspecified); Fatty Acid Amide Hydrolase (FAAH),Digestive System,IBD - Inflammatory Bowel Disease; Inflammation
2004017,Comparison of cannabinoid ligands affinities and efficacies in murine tissues and in transfected cells expressing human recombinant cannabinoid receptors,https://www.farm.ucl.ac.be/Full-texts-FARM/Govaerts-2004-2.pdf,Positive,,Laboratory Study,2004,CP-x Synthetic Cannabinoids; Delta-8-THC; HU-x Synthetic Cannabinoids; SR-x Synthetic Cannabinoids; Tetrahydrocannabinol (THC); WIN-x Synthetic Cannabinoids,,
2021218,"WIN55,212-2, a Dual Modulator of Cannabinoid Receptors and G Protein-Coupled Inward Rectifier Potassium Channels",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8146939/,Inconclusive,,Laboratory Study,2021,WIN-x Synthetic Cannabinoids,,
2012066,Δ9-Tetrahydrocannabinol (Δ9-THC) attenuates mouse sperm motility and male fecundity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3423255/,Negative,,Animal Study,2012,WIN-x Synthetic Cannabinoids,,Infertility (Male)
2001012,"The cannabinoid receptor agonist WIN 55,212-2 regulates glutamate transmission in rat cerebral cortex: an in vivo and in vitro study",https://pubmed.ncbi.nlm.nih.gov/11459762/,Inconclusive,,Animal Study,2001,WIN-x Synthetic Cannabinoids,,Excitotoxicity
1995003,Comparison of the pharmacology and signal transduction of the human cannabinoid CB1 and CB2 receptors,https://pubmed.ncbi.nlm.nih.gov/7565624/,Inconclusive,,Laboratory Study,1995,Anandamide (AEA); Cannabinol (CBN); CP-x Synthetic Cannabinoids; HU-x Synthetic Cannabinoids; Tetrahydrocannabinol (THC); WIN-x Synthetic Cannabinoids,,
2016075,An update on PPAR activation by cannabinoids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4882496/,Positive,,Meta-analysis,2016,2-Arachidonoyl Glycerol (2-AG); Anandamide (AEA); N-Arachidonoyl Dopamine (NADA); Palmitoylethanolamide (PEA); Virodhamine (O-AEA); WIN-x Synthetic Cannabinoids,,Cancer; Inflammation; Pain; Pain - Acute; Pain - Chronic
1993002,Aminoalkylindole binding in rat cerebellum: selective displacement by natural and synthetic cannabinoids,https://pubmed.ncbi.nlm.nih.gov/8450470/,Inconclusive,,Laboratory Study,1993,WIN-x Synthetic Cannabinoids,,Pain; Pain - Acute; Pain - Chronic
2023356,Hippocampal CB1 receptor mediates antidepressant-like effect of synthetic cannabinoid-HU210 in acute despair reaction model in mice,https://pubmed.ncbi.nlm.nih.gov/36372093/,Positive,,Animal Study,2023,HU-x Synthetic Cannabinoids,Mental/Emotional System,Depression; Oxidative Stress
1989002,Inhibition of cisplatin-induced emesis in the pigeon by a non-psychotropic synthetic cannabinoid,https://pubmed.ncbi.nlm.nih.gov/2557222/,Positive,,Animal Study,1989,HU-x Synthetic Cannabinoids; Tetrahydrocannabinol (THC),Digestive System,Chemotherapy-induced Nausea & Vomiting; Nausea and Vomiting
2022372,Unexpected short- and long-term effects of chronic adolescent HU-210 exposure on emotional behavior,https://pubmed.ncbi.nlm.nih.gov/35660545/,Inconclusive,,Animal Study,2022,HU-x Synthetic Cannabinoids,Nervous System,Poisoning by Synthetic Cannabis; Anxiety; Depression
1998002,Cannabinoid receptor-mediated inhibition of the rat tail-flick reflex after microinjection into the rostral ventromedial medulla,https://pubmed.ncbi.nlm.nih.gov/9509998/,Positive,,Animal Study,1998,HU-x Synthetic Cannabinoids,,Pain; Pain - Acute; Pain - Chronic
2000005,"Effects of the cannabinoid receptor agonist, HU 210, on ingestive behaviour and body weight of rats",https://pubmed.ncbi.nlm.nih.gov/10729369/,Positive,,Animal Study,2000,HU-x Synthetic Cannabinoids,Endocrine System,Obesity; Metabolic Syndrome
2000006,Inhibitory effects of the cannabinoid agonist HU 210 on rat sexual behaviour,https://pubmed.ncbi.nlm.nih.gov/10913795/,Negative,,Animal Study,2000,HU-x Synthetic Cannabinoids,Endocrine System; Reproductive System,Libido; Erectile Dysfunction; Poisoning by Synthetic Cannabis
1999008,Learning impairment produced in rats by the cannabinoid agonist HU 210 in a water-maze task,https://pubmed.ncbi.nlm.nih.gov/10548271/,Negative,,Animal Study,1999,HU-x Synthetic Cannabinoids,Nervous System,Poisoning by Synthetic Cannabis; Cannabis Adverse Effects
1989003,Stereochemical effects of 11-OH-delta 8-THC-dimethylheptyl in mice and dogs,https://pubmed.ncbi.nlm.nih.gov/2544901/,Inconclusive,,Animal Study,1989,HU-x Synthetic Cannabinoids,Mental/Emotional System,Cannabis Adverse Effects
2001013,Hu 210: a potent tool for investigations of the cannabinoid system,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6741702/pdf/CNS-7-131.pdf,Positive,,Meta-analysis,2001,HU-x Synthetic Cannabinoids,,Chemotherapy-induced Nausea & Vomiting; Inflammation; Pain; Nausea and Vomiting; Pain - Chronic; Psychosis; Schizophrenia
2016076,The Structure–Function Relationships of Classical Cannabinoids: CB1/CB2 Modulation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4927043/,Inconclusive,,Laboratory Study,2016,Endocannabinoid (unspecified); Synthetic Cannabinoid (unspecified),,
1996001,Evaluation of binding in a transfected cell line expressing a peripheral cannabinoid receptor (CB2): identification of cannabinoid receptor subtype selective ligands,https://pubmed.ncbi.nlm.nih.gov/8819477/,Inconclusive,,Laboratory Study,1996,Endocannabinoid (unspecified); Synthetic Cannabinoid (unspecified),,
1993003,"The non-psychotropic cannabinoid (+)-(3S,4S)-7-hydroxy-delta 6- tetrahydrocannabinol 1,1-dimethylheptyl (HU-211) attenuates N-methyl-D-aspartate receptor-mediated neurotoxicity in primary cultures of rat forebrain",https://pubmed.ncbi.nlm.nih.gov/8121633/,Positive,,Laboratory Study,1993,HU-x Synthetic Cannabinoids,,Excitotoxicity; Neurodegenerative Issues
2022373,Deficiency of autism-related Scn2a gene in mice disrupts sleep patterns and circadian rhythms,https://pubmed.ncbi.nlm.nih.gov/35301122/,Positive,,Animal Study,2022,HU-x Synthetic Cannabinoids,Mental/Emotional System; Nervous System,Autism
1989004,Stereospecific effects of (-)- and (+)-7-hydroxy-delta-6-tetrahydrocannabinol-dimethylheptyl on the immune system of mice,https://pubmed.ncbi.nlm.nih.gov/2561381/#affiliation-1,Inconclusive,,Animal Study,1989,HU-x Synthetic Cannabinoids,,
2008036,Ulcerative colitis in AKR mice is attenuated by intraperitoneally administered anandamide,https://www.jpp.krakow.pl/journal/archive/12_08/pdf/673_12_08_article.pdf,Positive,,Animal Study,2008,Anandamide (AEA); 2-Arachidonoyl Glycerol (2-AG); Endocannabinoid (unspecified); Tetrahydrocannabinol (THC),Digestive System,IBD - Inflammatory Bowel Disease; Inflammation; IBD - Crohn's Disease; Irritable Bowel Syndrome
2011052,Cannabinoid receptor antagonists AM251 and AM630 activate TRPA1 in sensory neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3130079/,Positive,,Laboratory Study,2011,AM-x Synthetic Cannabinoids,,
2020183,Synthetic cannabinoids AM-251 and AM-1241 induce cell death in prostate cancer cells,https://aacrjournals.org/cancerres/article/80/16_Supplement/4030/643198/Abstract-4030-Synthetic-cannabinoids-AM-251-and-AM,Positive,,Laboratory Study,2020,AM-x Synthetic Cannabinoids,Nervous System; Reproductive System,Cancer - Prostate; Cancer
2012067,The cannabinoid CB1 receptor antagonists rimonabant (SR141716) and AM251 directly potentiate GABA(A) receptors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3423234/,Positive,,Laboratory Study,2012,AM-x Synthetic Cannabinoids; SR-x Synthetic Cannabinoids,,Excitotoxicity
2011053,"Nonpsychotropic cannabinoids, abnormal cannabidiol and canabigerol-dimethyl heptyl, act at novel cannabinoid receptors to reduce intraocular pressure",https://pubmed.ncbi.nlm.nih.gov/21770780/,Positive,,Animal Study,2011,Abnormal Cannabidiol (Abn-CBD); Synthetic Cannabinoid (unspecified),Nervous System,Glaucoma
2010044,"N-arachidonoyl glycine, an abundant endogenous lipid, potently drives directed cellular migration through GPR18, the putative abnormal cannabidiol receptor",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2865488/,Inconclusive,,Laboratory Study,2010,Abnormal Cannabidiol (Abn-CBD),,
1977002,A cannabinoid with cardiovascular activity but no overt behavioral effects,https://pubmed.ncbi.nlm.nih.gov/891878/,Positive,,Animal Study,1977,Abnormal Cannabidiol (Abn-CBD),,Cannabis Adverse Effects; Cardiovascular Diseases (CVD); Hypertension (High Blood Pressure); Poisoning by Synthetic Cannabis
2022374,"Acute effects of 4-EA-NBOMe, 3, 4-DCMP, LY-2183240 and AB-CHFUPYCA on the excitability of rat cortical primary cultured neurons",https://link.springer.com/article/10.1007/s13273-022-00224-2,Inconclusive,,Laboratory Study,2022,AB-x Synthetic Cannabinoids,,Poisoning by Synthetic Cannabis
2020184,The synthetic cannabinoid 5F-MDMB-PICA: A case series,https://pubmed.ncbi.nlm.nih.gov/32683270/,Negative,,Meta-analysis,2020,5F-x Synthetic Cannabinoids,Nervous System,Poisoning by Synthetic Cannabis
2020185,Neurochemical and Behavioral Characterization after Acute and Repeated Exposure to Novel Synthetic Cannabinoid Agonist 5-MDMB-PICA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7766979/,Negative,,Animal Study,2020,5F-x Synthetic Cannabinoids,Nervous System,Poisoning by Synthetic Cannabis
1999009,"3-(1',1'-Dimethylbutyl)-1-deoxy-delta8-THC and related compounds: synthesis of selective ligands for the CB2 receptor",https://pubmed.ncbi.nlm.nih.gov/10658595/,Positive,,Laboratory Study,1999,JWH-x Synthetic Cannabinoids,,
2012068,AM-251 and Rimonabant Act as Direct Antagonists at Mu-Opioid Receptors: Implications for Opioid/Cannabinoid Interaction Studies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3408547/,Inconclusive,,Animal Study,2012,AM-x Synthetic Cannabinoids; SR-x Synthetic Cannabinoids,,Addiction - Opioid
2018078,"Rimonabant, a potent CB1 cannabinoid receptor antagonist, is a Gαi/o protein inhibitor",https://pubmed.ncbi.nlm.nih.gov/29407764/,Inconclusive,,Laboratory Study,2018,SR-x Synthetic Cannabinoids,,
1994001,"SR141716A, a potent and selective antagonist of the brain cannabinoid receptor",https://pubmed.ncbi.nlm.nih.gov/8070571/,Inconclusive,,Laboratory Study,1994,SR-x Synthetic Cannabinoids,,
2006013,The cannabinoid CB1 receptor antagonist rimonabant (SR141716) inhibits human breast cancer cell proliferation through a lipid raft-mediated mechanism,https://pubmed.ncbi.nlm.nih.gov/16822929/,Positive,,Laboratory Study,2006,SR-x Synthetic Cannabinoids,Nervous System; Reproductive System,Cancer - Breast; Cancer
2022375,"Rimonabant for prevention of cardiovascular events (CRESCENDO): a randomised, multicentre, placebo-controlled trial",https://pubmed.ncbi.nlm.nih.gov/20709233/,Negative,,Double Blind Clinical Trial,2022,SR-x Synthetic Cannabinoids,Cardiovascular System,Cardiovascular Diseases (CVD); Anxiety; Depression; Obesity; Suicide Attempt
2010045,Neuropsychiatric adverse effects signal the end of the line for rimonabant,https://www.nature.com/articles/nrcardio.2010.148#citeas,Negative,,Meta-analysis,2010,SR-x Synthetic Cannabinoids,Nervous System,Poisoning by Synthetic Cannabis; Anxiety; Depression; Suicide Attempt
1998003,"SR 144528, the first potent and selective antagonist of the CB2 cannabinoid receptor",https://pubmed.ncbi.nlm.nih.gov/9454810/,Positive,,Animal Study,1998,SR-x Synthetic Cannabinoids,,
2019083,Neurocognition and Subjective Experience Following Acute Doses of the Synthetic Cannabinoid JWH-018: Responders Versus Nonresponders,https://www.liebertpub.com/doi/10.1089/can.2018.0047,Negative,,Clinical Trial,2019,JWH-x Synthetic Cannabinoids,Nervous System,Poisoning by Synthetic Cannabis
2017064,Natural (∆9-THC) and synthetic (JWH-018) cannabinoids induce seizures by acting through the cannabinoid CB1 receptor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5585372/,Inconclusive,,Animal Study,2017,AM-x Synthetic Cannabinoids; JWH-x Synthetic Cannabinoids,Nervous System,Poisoning by Synthetic Cannabis; Epilepsy
2022376,Effects of synthetic (JWH-018) cannabinoids treatment on spermatogenesis and sperm function,https://pubmed.ncbi.nlm.nih.gov/31645148/,Negative,,Animal Study,2022,JWH-x Synthetic Cannabinoids,,Poisoning by Synthetic Cannabis; Infertility (Male)
2018079,Repeated Exposure to the “Spice” Cannabinoid JWH-018 Induces Tolerance and Enhances Responsiveness to 5-HT1A Receptor Stimulation in Male Rats,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5835089/,Negative,,Animal Study,2018,JWH-x Synthetic Cannabinoids,Nervous System,Poisoning by Synthetic Cannabis; Psychosis
2009034,"Withdrawal Phenomena and Dependence Syndrome After the Consumption of ""Spice Gold""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2719097/,Negative,,Meta-analysis,2009,JWH-x Synthetic Cannabinoids; CP-x Synthetic Cannabinoids,Nervous System,Poisoning by Synthetic Cannabis
2015079,"Effects of bioisosteric fluorine in synthetic cannabinoid designer drugs JWH-018, AM-2201, UR-144, XLR-11, PB-22, 5F-PB-22, APICA, and STS-135",https://pubmed.ncbi.nlm.nih.gov/25921407/,Negative,,Animal Study,2015,5F-x Synthetic Cannabinoids; JWH-x Synthetic Cannabinoids; AM-x Synthetic Cannabinoids; Synthetic Cannabinoid (unspecified),Nervous System,Poisoning by Synthetic Cannabis
2000007,Influence of the N-1 alkyl chain length of cannabimimetic indoles upon CB(1) and CB(2) receptor binding,https://web.archive.org/web/20160306162902/https://ewsd.wiv-isp.be/Publications%20on%20new%20psychoactive%20substances/JWH-019/Aung_2000_Alkyl%20chain___E972455D-F1B9-789D-E2A7D189115CD29F.pdf,Positive,,Laboratory Study,2000,JWH-x Synthetic Cannabinoids,,
2010046,Cannabinoid activation of peroxisome proliferator-activated receptors: potential for modulation of inflammatory disease,https://pubmed.ncbi.nlm.nih.gov/19833407/,Positive,,Meta-analysis,2010,Anandamide (AEA); CP-x Synthetic Cannabinoids; HU-x Synthetic Cannabinoids; Tetrahydrocannabinol (THC); WIN-x Synthetic Cannabinoids; 2-Arachidonoyl Glycerol (2-AG); N-Arachidonoyl Dopamine (NADA); Virodhamine (O-AEA),,Inflammation
2014055,"Pharmacology, Toxicology, and Adverse Effects of Synthetic Cannabinoid Drugs",https://www.chm.uri.edu/forensics/Gurney_PharmToxAdverseEffectsSynCannDrugs_ForScReview_2014.pdf,Inconclusive,,Meta-analysis,2014,AM-x Synthetic Cannabinoids; CP-x Synthetic Cannabinoids; HU-x Synthetic Cannabinoids; JWH-x Synthetic Cannabinoids; Synthetic Cannabinoid (unspecified); WIN-x Synthetic Cannabinoids,Nervous System,Poisoning by Synthetic Cannabis
2013046,Cannabinoid receptor agonists upregulate and enhance serotonin 2A (5-HT(2A)) receptor activity via ERK1/2 signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3552103/,Inconclusive,,Animal Study,2013,CP-x Synthetic Cannabinoids,,Anxiety; Depression; Schizophrenia
2009035,Atypical Responsiveness of the Orphan Receptor GPR55 to Cannabinoid Ligands,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2785612/,Positive,,Laboratory Study,2009,CP-x Synthetic Cannabinoids,,Obesity
2020186,Age-dependent hormesis-like effects of the synthetic cannabinoid CP55940 in C57BL/6 mice,https://www.nature.com/articles/s41514-020-0045-7#citeas,Inconclusive,,Animal Study,2020,CP-x Synthetic Cannabinoids,,Geriatric Conditions
2022377,"Synthetic cannabinoid CP-55,940 induces apoptosis in a human skeletal muscle model via regulation of CB1 receptors and L-type Ca2+ channels",https://pubmed.ncbi.nlm.nih.gov/33174160/,Positive,,Laboratory Study,2022,CP-x Synthetic Cannabinoids,,Cancer - Soft Tissues; Cancer
2022378,Role of cannabis in inflammatory bowel diseases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7049239/,Inconclusive,,Meta-analysis,2022,2-Arachidonoyl Glycerol (2-AG); Anandamide (AEA); Endocannabinoid (unspecified); Fatty Acid Amide Hydrolase (FAAH); Monoacylglycerol Lipase (MAGL); AM-x Synthetic Cannabinoids; JWH-x Synthetic Cannabinoids; Pharma THC:CBD; Pharma THC; Synthetic Cannabinoid (unspecified),Digestive System,IBD - Inflammatory Bowel Disease; Inflammation; IBD - Crohn's Disease; Hepatitis; IBD - Ulcerative Colitis; Irritable Bowel Syndrome; Pain; Nausea and Vomiting; Pancreatitis; Stomach Ulcers
2022379,Increased expression of CB2 receptor in the intestinal biopsies of children with inflammatory bowel disease,https://pubmed.ncbi.nlm.nih.gov/35717484/,Positive,,Clinical Trial,2022,Endocannabinoid (unspecified),Digestive System; Nervous System,IBD - Crohn's Disease; IBD - Inflammatory Bowel Disease; Inflammation
2008037,"Nicotine (NC)-induced ""depressive"" behavioral symptoms and effects of antidepressants including cannabinoids (CBs)",https://pubmed.ncbi.nlm.nih.gov/19043277/,Positive,,Animal Study,2008,Virodhamine (O-AEA),Mental/Emotional System; Nervous System,Addiction - Nicotine; Addiction; Depression
2021219,"Pharmacokinetics and Pharmacodynamics of the Synthetic Cannabinoid, 5F-MDMB-PICA, in Male Rats",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8511335/,Negative,,Animal Study,2021,5F-x Synthetic Cannabinoids,,Poisoning by Synthetic Cannabis
2007023,"Regulation of transient receptor potential channels of melastatin type 8 (TRPM8): effect of cAMP, cannabinoid CB(1) receptors and endovanilloids",https://pubmed.ncbi.nlm.nih.gov/17428469/,Inconclusive,,Laboratory Study,2007,Anandamide (AEA); N-Arachidonoyl Dopamine (NADA),,
2010047,"Inhibition of monoacylglycerol lipase by troglitazone, N-arachidonoyl dopamine and the irreversible inhibitor JZL184: comparison of two different assays",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3010564/,Inconclusive,,Laboratory Study,2010,N-Arachidonoyl Dopamine (NADA); Monoacylglycerol Lipase (MAGL),,
2000008,N-acyl-dopamines: novel synthetic CB(1) cannabinoid-receptor ligands and inhibitors of anandamide inactivation with cannabimimetic activity in vitro and in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1221424/pdf/11042139.pdf,Positive,,Animal Study,2000,N-Arachidonoyl Dopamine (NADA),,
2017065,Lysophosphatidylinositol-induced activation of the cation channel TRPV2 triggers glucagon-like peptide-1 secretion in enteroendocrine L cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491772/,Inconclusive,,Laboratory Study,2017,Lysophosphatidylinositol (LPI),,
2022380,Lysophosphatidylinositol: a novel link between ABC transporters and G-protein-coupled receptors,https://pubmed.ncbi.nlm.nih.gov/25233417/,Positive,,Meta-analysis,2022,Lysophosphatidylinositol (LPI),,Cancer
2022381,The oncogenic lysophosphatidylinositol (LPI)/GPR55 signaling,https://pubmed.ncbi.nlm.nih.gov/35500681/,Negative,,Meta-analysis,2022,Lysophosphatidylinositol (LPI),Nervous System,Cancer; Cancer - Kidney; Cancer - Brain; Cancer - Leukemia; Cancer - Melanoma
2016077,Lysophosphatidylinositol Signalling and Metabolic Diseases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4812335/,Negative,,Meta-analysis,2016,Lysophosphatidylinositol (LPI),Endocrine System,Metabolic Syndrome; Cardiovascular Diseases (CVD); Diabetes; Hypertension (High Blood Pressure); Obesity
2009036,2-Arachidonoyl-sn-glycero-3-phosphoinositol: A Possible Natural Ligand for GPR55,https://pubmed.ncbi.nlm.nih.gov/18845565/,Positive,,Laboratory Study,2009,Lysophosphatidylinositol (LPI),,
